date,actual,point_forecast,brier,logloss,baseline_brier,baseline_logloss
2020-04-25,65,66.43374305561146,0.09575444521437651,0.34527131139544276,0.09638208616780045,0.3471477220803078
2020-04-26,51,66.76815424929366,0.07143715276646043,0.24171688595479562,0.07040362811791381,0.2374236800460857
2020-04-27,50,67.10003418497475,0.07381347318253632,0.2493847877999774,0.07249546485260773,0.24444992745283134
2020-04-28,67,67.42937643764758,0.0961762518476899,0.3488913624483331,0.09684807256235829,0.35321697213695763
2020-04-29,59,67.75617876546325,0.07219688764904478,0.2445409732285337,0.06994784580498867,0.2371156506485875
2020-04-30,60,68.08044289157651,0.09747519219839948,0.35827367664750825,0.10045351473922903,0.37902592260661017
2020-05-01,66,68.40217427703504,0.09519699219962627,0.343096826173563,0.09764399092970524,0.3567650144597629
2020-05-02,73,68.72138188534196,0.09998446386128346,0.3772155326193684,0.10295804988662131,0.3971635222008538
2020-05-03,80,69.03807793934028,0.07337854262728147,0.24840787733156713,0.07666213151927437,0.2582076603213186
2020-05-04,75,69.17445075386074,0.10138386759898352,0.3903197122780925,0.10427582477014603,0.42014496481426333
2020-05-05,63,69.48782522294702,0.09625995980543997,0.34995187665190264,0.09510815524801539,0.34291718786474124
2020-05-06,52,69.79887516773844,0.0700754353864336,0.23801485929178537,0.07056620665560312,0.2393765608294912
2020-05-07,67,70.10761957358412,0.09504381992253488,0.3424522170632718,0.09545272556751805,0.34536029532127166
2020-05-08,57,70.4140791170748,0.07488688844315435,0.2540859356326751,0.0737541052260354,0.25019665357849696
2020-05-09,48,70.71827590095434,0.07102866296477556,0.24176523615448553,0.07047307958477507,0.23973099575514686
2020-05-10,64,71.02023318693197,0.09756022892494329,0.3618937699540637,0.09537758098967605,0.34462326221599027
2020-05-11,61,71.31997512712233,0.07513913621778395,0.25561523526849106,0.07123272359427482,0.24200822490408305
2020-05-12,59,71.61752649484175,0.07034955647127941,0.23990826948333846,0.06401698075065698,0.2193195390243634
2020-05-13,64,71.91291241549142,0.09733349277810248,0.3604774372057731,0.09685907888129722,0.35054527345867637
2020-05-14,67,72.20615809825622,0.0954240056982231,0.3481475659165912,0.09875510204081632,0.36385021499701997
2020-05-15,84,72.49728856934568,0.07524901555682777,0.25647172639641547,0.07848866213151925,0.2647209608983869
2020-05-16,77,72.78632840749842,0.09812656186318511,0.3667732234624617,0.10548072562358277,0.4243181568323364
2020-05-17,69,73.0733014824655,0.09400598607509011,0.33922727813942266,0.09228117913832201,0.3198439155431995
2020-05-18,70,73.35823069717854,0.09412955742283934,0.3404779170955989,0.09144897959183675,0.31712631586322104
2020-05-19,68,73.64113773429949,0.09513434775736246,0.3462745101829003,0.09550113378684807,0.3385210037612324
2020-05-20,66,73.92204280783562,0.09764652687740102,0.3647187687920005,0.10120634920634922,0.379552939331064
2020-05-21,68,74.20096442049066,0.09579047719187671,0.3517745757872911,0.09449433106575965,0.33282156871501806
2020-05-22,77,74.47791912740642,0.09444485209904831,0.3429441253431502,0.10379478458049887,0.4071099951896596
2020-05-23,67,74.75292130693242,0.09733779637850949,0.36237946588479497,0.10099773242630386,0.3794071415092838
2020-05-24,67,75.02598293904241,0.09755850981300118,0.365224658182551,0.10073242630385486,0.37921724021152253
2020-05-25,71,75.29711339199555,0.09352332435853378,0.33847345519186517,0.09753968253968255,0.3536825636232753
2020-05-26,78,75.56631921781832,0.09456968021526584,0.3441012141862594,0.09999319727891157,0.37503083429766954
2020-05-27,79,75.83360395715995,0.09420833967932588,0.3424305065380364,0.10146258503401359,0.38759607982565203
